time,全国,湖北,北京,广东,山东,上海,广西,黑龙江,江苏,河北,天津,江西,四川,湖南,云南,浙江,台湾,河南,重庆,贵州,香港,安徽,海南,澳门,辽宁,福建,山西,宁夏,吉林,内蒙古,陕西,新疆,甘肃,青海,西藏
2019/12/31,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/11,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/16,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/17,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/18,121,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/19,199,198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/20,291,270,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/21,440,375,10,14,1,2,0,0,0,0,0,2,2,1,1,5,1,1,5,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2020/1/22,571,444,14,26,6,9,0,0,1,1,2,3,5,4,1,20,1,1,6,0,0,9,4,2,2,1,1,1,0,0,0,0,0,0,0
2020/1/23,830,549,22,32,9,16,1,2,5,2,4,4,8,9,1,43,1,9,9,2,1,15,5,2,3,6,1,1,1,0,3,2,2,0,0
2020/1/24,1287,729,36,53,21,20,13,4,9,2,8,11,15,28,5,50,3,11,27,2,2,24,10,2,12,10,1,1,1,1,5,2,2,0,0
2020/1/25,1975,1052,41,78,27,33,23,9,18,8,10,18,28,43,11,62,3,32,57,4,5,39,17,2,16,18,6,3,4,2,15,3,4,0,0
2020/1/26,2744,1423,63,111,46,40,36,15,31,13,14,36,44,69,11,104,3,83,75,5,6,60,22,5,21,35,9,4,4,7,22,4,7,1,0
2020/1/27,4515,2714,80,188,87,66,51,30,70,33,23,72,90,143,26,173,5,168,132,9,8,106,40,7,27,59,20,11,8,13,35,10,19,6,0
2020/1/28,5974,3554,91,241,121,80,58,37,99,48,26,109,108,221,51,296,8,206,147,9,8,152,43,7,36,82,27,11,9,15,46,13,24,6,0
2020/1/29,7711,4586,111,311,145,101,78,43,129,65,27,162,142,277,70,428,8,278,165,12,10,200,46,7,39,101,35,17,14,16,63,14,26,6,1
2020/1/30,9692,5806,121,393,178,128,87,59,168,82,31,240,177,332,76,537,9,352,206,15,10,237,49,7,45,120,39,21,14,20,87,17,29,8,1
2020/1/31,11791,7153,156,520,202,153,100,80,202,96,32,286,207,389,91,599,10,422,238,29,13,297,57,7,60,144,47,26,17,23,101,18,35,9,1
2020/2/1,14376,9074,191,604,225,177,111,95,236,104,41,333,231,463,99,661,10,493,262,38,14,340,63,7,64,159,56,28,23,27,116,21,40,11,1
2020/2/2,17203,11177,212,683,246,193,127,118,271,113,48,391,254,521,109,724,10,566,300,46,15,408,70,8,70,179,66,31,31,34,128,24,51,13,1
2020/2/3,20437,13522,228,797,270,208,139,155,308,126,60,476,282,593,117,829,10,675,337,56,15,480,79,8,73,194,74,34,42,35,142,29,55,15,1
2020/2/4,24324,16678,253,870,298,233,150,190,341,135,67,548,301,661,122,895,11,764,366,64,18,530,89,10,81,205,81,34,54,42,165,32,57,17,1
2020/2/5,28018,19665,274,944,343,254,168,227,373,157,69,600,321,711,128,954,11,851,389,69,21,591,100,10,89,215,90,40,59,46,173,36,62,18,1
2020/2/6,31161,22112,297,1018,379,269,172,277,408,171,79,661,344,772,135,1006,16,914,411,77,24,665,111,10,94,224,96,43,65,50,184,39,67,18,1
2020/2/7,34546,24953,315,1075,407,281,183,295,439,195,88,698,363,803,138,1048,16,981,426,89,26,733,124,10,99,239,104,45,69,52,195,42,71,18,1
2020/2/8,37198,27100,326,1120,435,292,195,307,468,206,88,740,386,838,140,1075,17,1033,446,96,26,779,128,10,105,250,115,45,78,54,208,45,79,18,1
2020/2/9,40171,29631,337,1151,459,295,210,331,492,218,91,771,405,879,141,1104,18,1073,468,109,36,830,136,10,107,261,119,49,80,58,213,49,83,18,1
2020/2/10,42638,31728,342,1177,486,302,215,360,515,239,95,804,417,912,149,1117,18,1105,486,118,42,860,142,10,108,267,122,53,81,58,219,55,86,18,1
2020/2/11,44653,33366,352,1219,497,306,222,378,543,251,106,844,436,946,154,1131,18,1135,505,131,49,889,151,10,116,272,124,58,83,60,225,59,86,18,1
2020/2/12,58761,47163,366,1241,506,313,222,395,570,265,112,872,451,968,155,1145,18,1169,518,135,49,910,157,10,116,279,126,64,84,61,229,63,87,18,1
2020/2/13,63851,51986,372,1261,519,318,226,418,593,283,119,900,463,988,162,1155,18,1184,529,140,53,934,158,10,117,281,126,67,86,65,230,65,90,18,1
2020/2/14,66492,54406,375,1294,530,326,235,425,604,291,120,913,470,1001,168,1162,18,1212,537,143,56,950,162,10,119,285,127,70,88,68,232,70,90,18,1
2020/2/15,68500,56249,380,1316,537,328,237,445,617,300,122,925,481,1004,169,1167,18,1231,544,144,56,962,162,10,120,287,128,70,89,70,236,71,90,18,1
2020/2/16,70548,58182,381,1322,541,331,238,457,626,301,124,930,495,1006,171,1171,20,1246,551,146,57,973,162,10,121,290,129,70,89,72,240,75,90,18,1
2020/2/17,72436,59989,387,1328,543,333,242,464,629,302,125,933,508,1007,172,1172,22,1257,553,146,60,982,163,10,121,292,130,70,89,73,240,76,91,18,1
2020/2/18,74185,61682,393,1331,544,333,244,470,631,306,128,934,514,1008,173,1173,22,1262,555,146,62,986,163,10,121,293,131,70,90,75,242,76,91,18,1
2020/2/19,75002,62457,395,1332,546,333,245,476,631,307,130,934,520,1010,172,1175,23,1265,560,146,65,987,168,10,121,293,131,71,91,75,245,76,91,18,1
2020/2/20,75891,63088,396,1333,748,334,246,479,631,308,131,934,525,1011,174,1203,24,1267,567,146,68,988,168,10,121,293,132,71,91,75,245,76,91,18,1
2020/2/21,76288,63454,399,1339,750,334,249,479,631,309,133,934,526,1013,174,1205,26,1270,572,146,69,989,168,10,121,293,132,71,91,75,245,76,91,18,1
2020/2/22,76936,64084,399,1342,754,335,249,480,631,311,135,934,526,1016,174,1205,26,1271,573,146,69,989,168,10,121,293,132,71,91,75,245,76,91,18,1
2020/2/23,77150,64287,399,1345,755,335,251,480,631,311,135,934,527,1016,174,1205,28,1271,575,146,74,989,168,10,121,293,132,71,93,75,245,76,91,18,1
